 #   E (MEV)       THETA_CM     SIG_EL/SIG_R  SIG_INEL(MB)  SIG_INEL/SIG_R  SIG_QEL/SIG_R
    0.56600E+02    0.18000E+03    0.23976E+00    0.51878E+02    0.52100E+00    0.76076E+00
    0.56700E+02    0.18000E+03    0.23744E+00    0.51052E+02    0.51451E+00    0.75196E+00
    0.56800E+02    0.18000E+03    0.23506E+00    0.50192E+02    0.50763E+00    0.74269E+00
    0.56900E+02    0.18000E+03    0.23262E+00    0.49296E+02    0.50033E+00    0.73295E+00
    0.57000E+02    0.18000E+03    0.23011E+00    0.48374E+02    0.49269E+00    0.72280E+00
    0.57100E+02    0.18000E+03    0.22751E+00    0.47439E+02    0.48487E+00    0.71238E+00
    0.57200E+02    0.18000E+03    0.22481E+00    0.46505E+02    0.47699E+00    0.70180E+00
    0.57300E+02    0.18000E+03    0.22200E+00    0.45580E+02    0.46913E+00    0.69114E+00
    0.57400E+02    0.18000E+03    0.21908E+00    0.44663E+02    0.46130E+00    0.68038E+00
    0.57500E+02    0.18000E+03    0.21604E+00    0.43746E+02    0.45341E+00    0.66946E+00
    0.57600E+02    0.18000E+03    0.21291E+00    0.42819E+02    0.44535E+00    0.65826E+00
    0.57700E+02    0.18000E+03    0.20969E+00    0.41872E+02    0.43701E+00    0.64670E+00
    0.57800E+02    0.18000E+03    0.20638E+00    0.40900E+02    0.42835E+00    0.63473E+00
    0.57900E+02    0.18000E+03    0.20299E+00    0.39910E+02    0.41943E+00    0.62242E+00
    0.58000E+02    0.18000E+03    0.19950E+00    0.38911E+02    0.41034E+00    0.60984E+00
    0.58100E+02    0.18000E+03    0.19592E+00    0.37915E+02    0.40122E+00    0.59713E+00
    0.58200E+02    0.18000E+03    0.19223E+00    0.36933E+02    0.39217E+00    0.58440E+00
    0.58300E+02    0.18000E+03    0.18843E+00    0.35968E+02    0.38324E+00    0.57167E+00
    0.58400E+02    0.18000E+03    0.18454E+00    0.35019E+02    0.37440E+00    0.55894E+00
    0.58500E+02    0.18000E+03    0.18056E+00    0.34077E+02    0.36558E+00    0.54614E+00
    0.58600E+02    0.18000E+03    0.17651E+00    0.33133E+02    0.35668E+00    0.53319E+00
    0.58700E+02    0.18000E+03    0.17241E+00    0.32184E+02    0.34764E+00    0.52005E+00
    0.58800E+02    0.18000E+03    0.16827E+00    0.31228E+02    0.33847E+00    0.50673E+00
    0.58900E+02    0.18000E+03    0.16408E+00    0.30272E+02    0.32922E+00    0.49330E+00
    0.59000E+02    0.18000E+03    0.15986E+00    0.29325E+02    0.32000E+00    0.47986E+00
    0.59100E+02    0.18000E+03    0.15559E+00    0.28396E+02    0.31092E+00    0.46651E+00
    0.59200E+02    0.18000E+03    0.15129E+00    0.27492E+02    0.30205E+00    0.45334E+00
    0.59300E+02    0.18000E+03    0.14697E+00    0.26615E+02    0.29340E+00    0.44036E+00
    0.59400E+02    0.18000E+03    0.14262E+00    0.25761E+02    0.28494E+00    0.42756E+00
    0.59500E+02    0.18000E+03    0.13828E+00    0.24922E+02    0.27659E+00    0.41487E+00
    0.59600E+02    0.18000E+03    0.13395E+00    0.24094E+02    0.26829E+00    0.40225E+00
    0.59700E+02    0.18000E+03    0.12966E+00    0.23271E+02    0.26001E+00    0.38966E+00
    0.59800E+02    0.18000E+03    0.12540E+00    0.22456E+02    0.25174E+00    0.37714E+00
    0.59900E+02    0.18000E+03    0.12120E+00    0.21652E+02    0.24354E+00    0.36474E+00
    0.60000E+02    0.18000E+03    0.11704E+00    0.20868E+02    0.23550E+00    0.35254E+00
    0.60100E+02    0.18000E+03    0.11292E+00    0.20109E+02    0.22769E+00    0.34062E+00
    0.60200E+02    0.18000E+03    0.10886E+00    0.19379E+02    0.22016E+00    0.32902E+00
    0.60300E+02    0.18000E+03    0.10486E+00    0.18678E+02    0.21291E+00    0.31776E+00
    0.60400E+02    0.18000E+03    0.10092E+00    0.18003E+02    0.20589E+00    0.30681E+00
    0.60500E+02    0.18000E+03    0.97055E-01    0.17348E+02    0.19905E+00    0.29611E+00
    0.60600E+02    0.18000E+03    0.93281E-01    0.16707E+02    0.19234E+00    0.28562E+00
    0.60700E+02    0.18000E+03    0.89603E-01    0.16078E+02    0.18571E+00    0.27531E+00
    0.60800E+02    0.18000E+03    0.86027E-01    0.15461E+02    0.17916E+00    0.26519E+00
    0.60900E+02    0.18000E+03    0.82551E-01    0.14858E+02    0.17275E+00    0.25530E+00
    0.61000E+02    0.18000E+03    0.79175E-01    0.14275E+02    0.16651E+00    0.24569E+00
    0.61100E+02    0.18000E+03    0.75896E-01    0.13716E+02    0.16052E+00    0.23641E+00
    0.61200E+02    0.18000E+03    0.72710E-01    0.13183E+02    0.15478E+00    0.22749E+00
    0.61300E+02    0.18000E+03    0.69618E-01    0.12676E+02    0.14932E+00    0.21894E+00
    0.61400E+02    0.18000E+03    0.66623E-01    0.12192E+02    0.14409E+00    0.21071E+00
    0.61500E+02    0.18000E+03    0.63730E-01    0.11727E+02    0.13905E+00    0.20278E+00
    0.61600E+02    0.18000E+03    0.60943E-01    0.11277E+02    0.13415E+00    0.19509E+00
    0.61700E+02    0.18000E+03    0.58264E-01    0.10838E+02    0.12934E+00    0.18761E+00
    0.61800E+02    0.18000E+03    0.55695E-01    0.10410E+02    0.12463E+00    0.18033E+00
    0.61900E+02    0.18000E+03    0.53233E-01    0.99933E+01    0.12003E+00    0.17327E+00
    0.62000E+02    0.18000E+03    0.50873E-01    0.95917E+01    0.11558E+00    0.16646E+00
    0.62100E+02    0.18000E+03    0.48609E-01    0.92079E+01    0.11132E+00    0.15993E+00
    0.62200E+02    0.18000E+03    0.46437E-01    0.88442E+01    0.10726E+00    0.15370E+00
    0.62300E+02    0.18000E+03    0.44351E-01    0.85008E+01    0.10343E+00    0.14778E+00
    0.62400E+02    0.18000E+03    0.42351E-01    0.81762E+01    0.99802E-01    0.14215E+00
    0.62500E+02    0.18000E+03    0.40437E-01    0.78675E+01    0.96342E-01    0.13678E+00
    0.62600E+02    0.18000E+03    0.38609E-01    0.75712E+01    0.93010E-01    0.13162E+00
    0.62700E+02    0.18000E+03    0.36869E-01    0.72843E+01    0.89771E-01    0.12664E+00
    0.62800E+02    0.18000E+03    0.35216E-01    0.70051E+01    0.86607E-01    0.12182E+00
    0.62900E+02    0.18000E+03    0.33646E-01    0.67337E+01    0.83517E-01    0.11716E+00
    0.63000E+02    0.18000E+03    0.32156E-01    0.64714E+01    0.80518E-01    0.11267E+00
    0.63100E+02    0.18000E+03    0.30741E-01    0.62202E+01    0.77639E-01    0.10838E+00
    0.63200E+02    0.18000E+03    0.29393E-01    0.59822E+01    0.74905E-01    0.10430E+00
    0.63300E+02    0.18000E+03    0.28109E-01    0.57583E+01    0.72330E-01    0.10044E+00
    0.63400E+02    0.18000E+03    0.26884E-01    0.55484E+01    0.69914E-01    0.96797E-01
    0.63500E+02    0.18000E+03    0.25717E-01    0.53510E+01    0.67640E-01    0.93356E-01
    0.63600E+02    0.18000E+03    0.24607E-01    0.51639E+01    0.65480E-01    0.90087E-01
    0.63700E+02    0.18000E+03    0.23554E-01    0.49845E+01    0.63403E-01    0.86958E-01
    0.63800E+02    0.18000E+03    0.22559E-01    0.48107E+01    0.61385E-01    0.83944E-01
    0.63900E+02    0.18000E+03    0.21620E-01    0.46414E+01    0.59411E-01    0.81031E-01
    0.64000E+02    0.18000E+03    0.20733E-01    0.44768E+01    0.57484E-01    0.78217E-01
